DATES,U Revenue,D CR,U OE,U NOI,D CAPEX,D WK,U FCF
2019-12-01,9965.580959917495,1802.7975234775522,21903.56924784465,675.2303915714568,1345.715784365443,44147.18470861056,10548.7197880438
2019-12-08,10106.576912363156,1778.2460078645536,21946.81069868282,670.5205809138184,1347.5322575317985,43554.78131787027,10548.7197880438
2019-12-15,10247.572864808817,1753.6944922515552,21990.05214952099,665.8107702561801,1349.3487306981538,42962.37792712998,10548.7197880438
2019-12-22,10388.568817254478,1729.1429766385568,22033.293600359157,661.1009595985417,1351.165203864509,42369.97453638969,10548.7197880438
2019-12-29,10529.564769700139,1704.5914610255581,22076.535051197327,656.3911489409033,1352.9816770308646,41777.571145649395,10548.7197880438
2020-01-05,10670.5607221458,1680.0399454125597,22119.776502035496,651.681338283265,1354.79815019722,41185.167754909104,10548.7197880438
2020-01-12,10586.356571177943,1680.0399454125597,21631.696640096266,637.2571553310258,1354.79815019722,41576.35843719972,10438.941754090287
2020-01-19,10502.152420210086,1680.0399454125597,21143.616778157037,622.8329723787866,1354.79815019722,41967.54911949034,10329.163720136776
2020-01-26,10417.948269242232,1680.0399454125597,20655.536916217803,608.4087894265475,1354.79815019722,42358.73980178095,10219.385686183263
2020-02-02,10333.744118274375,1680.0399454125597,20167.457054278573,593.9846064743084,1354.79815019722,42749.93048407156,10109.607652229752
2020-02-09,10249.539967306519,1680.0399454125597,19679.377192339343,579.5604235220692,1354.79815019722,43141.12116636218,9999.829618276239
2020-02-16,10165.335816338662,1680.0399454125597,19191.297330400113,565.1362405698301,1354.79815019722,43532.3118486528,9890.051584322726
2020-02-23,10081.131665370807,1680.0399454125597,18703.217468460884,550.712057617591,1354.79815019722,43923.502530943406,9780.273550369215
2020-03-01,9996.92751440295,1680.0399454125597,18215.137606521654,536.2878746653518,1354.79815019722,44314.69321323402,9670.495516415702
2020-03-08,9912.723363435094,1680.0399454125597,17727.057744582424,521.8636917131126,1354.79815019722,44705.88389552464,9560.717482462189
2020-03-15,9828.519212467238,1680.0399454125597,17238.977882643194,507.4395087608735,1354.79815019722,45097.074577815256,9450.939448508678
2020-03-22,9744.315061499383,1680.0399454125597,16750.89802070396,493.0153258086343,1354.79815019722,45488.265260105865,9341.161414555165
2020-03-29,9660.110910531526,1680.0399454125597,16262.81815876473,478.5911428563952,1354.79815019722,45879.45594239648,9231.383380601654
2020-04-05,9575.90675956367,1680.0399454125597,15774.7382968255,464.16695990415604,1354.79815019722,46270.6466246871,9121.60534664814
