DATES,D Revenue,U CR,D OE,D NOI,U CAPEX,U WK,D FCF
2019-09-22,9169.45009786914,3978.7873385675875,8160.678774153129,257.7320464362593,1924.6978603069342,119032.9181099417,13776.576290936699
2019-09-29,9147.920369239195,4060.123866581354,8079.205983792859,257.40375006212764,1924.0527752712321,116916.12381684035,13776.576290936699
2019-10-06,9126.39064060925,4141.46039459512,7997.73319343259,257.075453687996,1923.40769023553,114799.329523739,13776.576290936699
2019-10-13,9237.070815061885,4155.993545506884,7973.086723246538,257.075453687996,1909.6345925430678,110418.29550029061,13772.957092924336
2019-10-20,9347.75098951452,4170.526696418648,7948.440253060486,257.075453687996,1895.8614948506054,106037.26147684222,13769.337894911976
2019-10-27,9458.431163967154,4185.059847330412,7923.793782874433,257.075453687996,1882.0883971581432,101656.22745339385,13765.718696899614
2019-11-03,9569.111338419789,4199.592998242176,7899.147312688381,257.075453687996,1868.3152994656807,97275.19342994546,13762.099498887254
2019-11-10,9679.791512872423,4214.126149153939,7874.500842502329,257.075453687996,1854.5422017732185,92894.15940649707,13758.480300874891
2019-11-17,9790.471687325058,4228.659300065703,7849.854372316277,257.075453687996,1840.769104080756,88513.1253830487,13754.861102862531
2019-11-24,9901.151861777691,4243.192450977467,7825.207902130223,257.075453687996,1826.9960063882938,84132.09135960031,13751.241904850169
2019-12-01,10011.832036230326,4257.725601889231,7800.561431944171,257.075453687996,1813.2229086958314,79751.05733615192,13747.622706837808
2019-12-08,10122.51221068296,4272.258752800994,7775.914961758119,257.075453687996,1799.4498110033692,75370.02331270353,13744.003508825446
2019-12-15,10233.192385135595,4286.7919037127585,7751.2684915720665,257.075453687996,1785.6767133109067,70988.98928925514,13740.384310813086
2019-12-22,10343.87255958823,4301.325054624523,7726.622021386014,257.075453687996,1771.9036156184445,66607.95526580677,13736.765112800724
2019-12-29,10454.552734040864,4315.858205536286,7701.975551199962,257.075453687996,1758.130517925982,62226.92124235838,13733.145914788363
2020-01-05,10565.232908493499,4330.39135644805,7677.32908101391,257.075453687996,1744.3574202335199,57845.88721891,13729.526716776001
2020-01-12,10460.252028559402,4303.5084541283795,7572.013598678548,259.73416374061054,1766.2238969402283,58112.48108973862,13985.444843918754
2020-01-19,10355.271148625305,4276.62555180871,7466.6981163431865,262.3928737932251,1788.0903736469368,58379.074960567246,14241.362971061508
2020-01-26,10250.29026869121,4249.74264948904,7361.382634007825,265.0515838458396,1809.9568503536452,58645.668831395866,14497.281098204261
2020-02-02,10145.309388757112,4222.85974716937,7256.067151672463,267.71029389845415,1831.8233270603537,58912.26270222449,14753.199225347016
2020-02-09,10040.328508823015,4195.9768448497,7150.751669337102,270.3690039510687,1853.6898037670621,59178.85657305311,15009.11735248977
2020-02-16,9935.347628888918,4169.09394253003,7045.43618700174,273.02771400368323,1875.5562804737706,59445.45044388174,15265.035479632523
2020-02-23,9830.366748954822,4142.21104021036,6940.1207046663785,275.68642405629777,1897.422757180479,59712.04431471036,15520.953606775276
2020-03-01,9725.385869020725,4115.32813789069,6834.805222331018,278.3451341089123,1919.2892338871877,59978.638185538985,15776.87173391803
2020-03-08,9620.404989086628,4088.44523557102,6729.489739995656,281.00384416152684,1941.1557105938962,60245.232056367604,16032.789861060784
2020-03-15,9515.424109152531,4061.56233325135,6624.174257660295,283.6625542141414,1963.0221873006046,60511.82592719623,16288.707988203536
2020-03-22,9410.443229218436,4034.67943093168,6518.858775324933,286.3212642667559,1984.888664007313,60778.41979802485,16544.62611534629
2020-03-29,9305.462349284338,4007.79652861201,6413.5432929895715,288.97997431937046,2006.7551407140215,61045.01366885347,16800.544242489043
2020-04-05,9200.481469350241,3980.9136262923403,6308.22781065421,291.638684371985,2028.62161742073,61311.607539682096,17056.462369631798
